statement_no,debate,night,speaker,speaker_type,timestamp,statement
0,1,1,Holt,proctor,00:00:00,"Comment on every topic, but over the course of the next two hours, we will hear from everyone. We’d also like to ask the audience to keep their reactions to a minimum, we are not going to be shy about making sure that candidates stick to time tonight."
1,1,1,Guthrie,proctor,00:00:13,"All right, so with that business out of the way, we want to get to it and we’ll start this evening with Senator Elizabeth Warren. Senator, good evening to you."
2,1,1,Warren,candidate,00:00:20,Thank you. [crosstalk 00:00:21] to be here.
3,1,1,Guthrie,proctor,00:00:21,"You have many plans. Free college, free childcare, government healthcare, cancellation of student debt, new taxes, new regulations, the breakup of major corporations, but this comes at a time when 71% of Americans say the economy is doing well, including 60% of Democrats."
4,1,1,Guthrie,proctor,00:00:39,What do you say to those who worry this kind of significant change could be risky to the economy?
5,1,1,Warren,candidate,00:00:44,"I think of it this way. Who is this economy really working for? It’s doing great for thinner and thinner slice at the top. It’s doing great for giant drug companies. It’s just not doing great for people who are trying to get a prescription filled. It’s doing great for people who want to invest in private prisons, just not for the African Americans and Latin X whose families were torn apart, whose lives are destroyed and whose communities are ruined. It’s doing great for giant oil companies that want to drill everywhere, just not for the rest of us who are watching climate change bear down upon us."
6,1,1,Warren,candidate,00:01:24,"When you’ve got a government, when you’ve got an autonomy, that does great for those with money and isn’t doing great for everyone else, that is corruption pure and simple, we need to call it out, we need to attack it head on, and we need to make structural change in our government, in our economy, and in our country."
7,1,1,Guthrie,proctor,00:01:43,"Senator Klobuchar, you’ve called programs like free college, something you might do if you were, “A magic genie.” To be blunt, are the government programs and benefits that some of your rivals are offering, giving your voters, people, a false sense of what’s actually achievable?"
8,1,1,Klobuchar,candidate,00:02:08,"Well, first the economy. We know that not everyone is sharing in this prosperity and Donald Trump just sits in the White House and gloats about what’s going on, when you have so many people that are having trouble affording college and having trouble affording their premiums. I do get concerned about paying for college for rich kids, I do, but I think my plan is a good one, and my plan would be to first of all make community college free and make sure that everyone else besides that top percentile, gets help with their education. My own dad and my sister, got their first degrees with community college. There’s many paths to success as well as certifications."
9,1,1,Klobuchar,candidate,00:02:51,"Secondly, I’d use Pell Grants. I’d double them from 6,000 to $12,000 a year, and expand it to the number of families that get covered, to families that make up to $100,000."
10,1,1,Klobuchar,candidate,00:03:03,"And then the third thing I would do is make it easier for students to pay off their student loans. Because I can tell you this, if billionaires can pay off their yacht, students should be able to pay off their student loans."
11,1,1,Guthrie,proctor,00:03:15,That’s time. Thank you.
